Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.860420532216867 | Accuracy: 0.027109929078014183
TEST | Epoch: 0 | Loss: 3.8606178836922473 | Accuracy: 0.02617021276595745
TRAIN | Epoch: 1 | Loss: 0.8675837015386257 | Accuracy: 0.7306471631205673
TEST | Epoch: 1 | Loss: 0.9054584690018407 | Accuracy: 0.7258510638297873
TRAIN | Epoch: 2 | Loss: 0.6315325546093253 | Accuracy: 0.7970035460992908
TEST | Epoch: 2 | Loss: 0.6752590005555037 | Accuracy: 0.7877659574468086
TRAIN | Epoch: 3 | Loss: 0.5397639357167462 | Accuracy: 0.8255141843971632
TEST | Epoch: 3 | Loss: 0.5943780668550347 | Accuracy: 0.811063829787234
TRAIN | Epoch: 4 | Loss: 0.489088561617396 | Accuracy: 0.8358510638297872
TEST | Epoch: 4 | Loss: 0.5446230183570487 | Accuracy: 0.8214893617021276
TRAIN | Epoch: 5 | Loss: 0.4573793909150229 | Accuracy: 0.8427127659574468
TEST | Epoch: 5 | Loss: 0.5241362639815624 | Accuracy: 0.8254787234042553
TRAIN | Epoch: 6 | Loss: 0.42991222634128845 | Accuracy: 0.8512411347517731
TEST | Epoch: 6 | Loss: 0.5012161515257222 | Accuracy: 0.8320212765957447
TRAIN | Epoch: 7 | Loss: 0.4036751190537594 | Accuracy: 0.8600975177304965
TEST | Epoch: 7 | Loss: 0.48255892892167457 | Accuracy: 0.8403191489361702
TRAIN | Epoch: 8 | Loss: 0.3910247146630563 | Accuracy: 0.863741134751773
TEST | Epoch: 8 | Loss: 0.4776490595990159 | Accuracy: 0.8404255319148937
TRAIN | Epoch: 9 | Loss: 0.3765128570752013 | Accuracy: 0.8678900709219858
TEST | Epoch: 9 | Loss: 0.4683244486433018 | Accuracy: 0.8407978723404256
TRAIN | Epoch: 10 | Loss: 0.358381513763993 | Accuracy: 0.8737943262411347
TEST | Epoch: 10 | Loss: 0.46026373532668563 | Accuracy: 0.8453723404255319
TRAIN | Epoch: 11 | Loss: 0.34677603089239795 | Accuracy: 0.8757003546099291
TEST | Epoch: 11 | Loss: 0.45820645929687825 | Accuracy: 0.8489361702127659
TRAIN | Epoch: 12 | Loss: 0.32899328765662494 | Accuracy: 0.882136524822695
TEST | Epoch: 12 | Loss: 0.4395695160751096 | Accuracy: 0.8540425531914894
