Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 2.3122346223440613 | Accuracy: 0.10194166666666667
TEST | Epoch: 0 | Loss: 2.3123981054396907 | Accuracy: 0.102725
TRAIN | Epoch: 1 | Loss: 0.08724747475846069 | Accuracy: 0.9737208333333334
TEST | Epoch: 1 | Loss: 0.08821254676876732 | Accuracy: 0.9731
TRAIN | Epoch: 2 | Loss: 0.05530329369049682 | Accuracy: 0.98305
TEST | Epoch: 2 | Loss: 0.05754429748340517 | Accuracy: 0.981725
TRAIN | Epoch: 3 | Loss: 0.04374542776208912 | Accuracy: 0.9865333333333334
TEST | Epoch: 3 | Loss: 0.04749436468594669 | Accuracy: 0.98465
TRAIN | Epoch: 4 | Loss: 0.0346168707336746 | Accuracy: 0.9892958333333334
TEST | Epoch: 4 | Loss: 0.040149931695566465 | Accuracy: 0.987025
TRAIN | Epoch: 5 | Loss: 0.03357703251033709 | Accuracy: 0.9896125
TEST | Epoch: 5 | Loss: 0.04193454986151766 | Accuracy: 0.98655
TRAIN | Epoch: 6 | Loss: 0.027491803107025977 | Accuracy: 0.9916
TEST | Epoch: 6 | Loss: 0.03671155582809175 | Accuracy: 0.9885
TRAIN | Epoch: 7 | Loss: 0.023586798064593916 | Accuracy: 0.9929958333333333
TEST | Epoch: 7 | Loss: 0.03340506103723426 | Accuracy: 0.989675
TRAIN | Epoch: 8 | Loss: 0.02285967203662347 | Accuracy: 0.9928333333333333
TEST | Epoch: 8 | Loss: 0.03457881636180612 | Accuracy: 0.988825
TRAIN | Epoch: 9 | Loss: 0.020134828546217703 | Accuracy: 0.9938375
TEST | Epoch: 9 | Loss: 0.03128635511637982 | Accuracy: 0.99055
TRAIN | Epoch: 10 | Loss: 0.020738417338576128 | Accuracy: 0.9935458333333334
TEST | Epoch: 10 | Loss: 0.032802245478422566 | Accuracy: 0.99015
TRAIN | Epoch: 11 | Loss: 0.018837808104371676 | Accuracy: 0.9939583333333334
TEST | Epoch: 11 | Loss: 0.03232986260521383 | Accuracy: 0.989975
TRAIN | Epoch: 12 | Loss: 0.01640147295240819 | Accuracy: 0.9948958333333333
TEST | Epoch: 12 | Loss: 0.029383668505318906 | Accuracy: 0.990925
TRAIN | Epoch: 13 | Loss: 0.013776047734737326 | Accuracy: 0.9959666666666667
TEST | Epoch: 13 | Loss: 0.027631698728576373 | Accuracy: 0.99135
TRAIN | Epoch: 14 | Loss: 0.012252912829549933 | Accuracy: 0.9964041666666666
TEST | Epoch: 14 | Loss: 0.02670381737996654 | Accuracy: 0.9918
TRAIN | Epoch: 15 | Loss: 0.012180988761326311 | Accuracy: 0.9963291666666667
TEST | Epoch: 15 | Loss: 0.026140271393394636 | Accuracy: 0.99185
TRAIN | Epoch: 16 | Loss: 0.012083300106315316 | Accuracy: 0.996375
TEST | Epoch: 16 | Loss: 0.026409737737713778 | Accuracy: 0.99175
TRAIN | Epoch: 17 | Loss: 0.011918701814779971 | Accuracy: 0.9964041666666666
TEST | Epoch: 17 | Loss: 0.028800183263380914 | Accuracy: 0.9909
TRAIN | Epoch: 18 | Loss: 0.0112681203330281 | Accuracy: 0.9964625
TEST | Epoch: 18 | Loss: 0.027861426554524 | Accuracy: 0.991425
TRAIN | Epoch: 19 | Loss: 0.011443943380662963 | Accuracy: 0.996625
TEST | Epoch: 19 | Loss: 0.028544013365731973 | Accuracy: 0.9914
TRAIN | Epoch: 20 | Loss: 0.00906463777692613 | Accuracy: 0.9974125
TEST | Epoch: 20 | Loss: 0.025681558357619087 | Accuracy: 0.9923
TRAIN | Epoch: 21 | Loss: 0.008417163915182352 | Accuracy: 0.9976125
TEST | Epoch: 21 | Loss: 0.025770738180489264 | Accuracy: 0.992175
TRAIN | Epoch: 22 | Loss: 0.009497433661443077 | Accuracy: 0.9970541666666667
TEST | Epoch: 22 | Loss: 0.028515568434898376 | Accuracy: 0.99195
TRAIN | Epoch: 23 | Loss: 0.007930243265370347 | Accuracy: 0.9977916666666666
TEST | Epoch: 23 | Loss: 0.02582121659595802 | Accuracy: 0.99245
