Starting...
Training and testing...
TRAIN | Epoch: 0 | Loss: 3.281017345052734 | Accuracy: 0.03845352564102564
TEST | Epoch: 0 | Loss: 3.280798488715586 | Accuracy: 0.038461538461538464
TRAIN | Epoch: 1 | Loss: 0.5652768284232578 | Accuracy: 0.8244391025641026
TEST | Epoch: 1 | Loss: 0.5800196453775112 | Accuracy: 0.819375
TRAIN | Epoch: 2 | Loss: 0.4028032209980056 | Accuracy: 0.8712580128205129
TEST | Epoch: 2 | Loss: 0.4313695251657013 | Accuracy: 0.8621153846153846
TRAIN | Epoch: 3 | Loss: 0.3245931522507974 | Accuracy: 0.895
TEST | Epoch: 3 | Loss: 0.35941320910117713 | Accuracy: 0.8855288461538462
TRAIN | Epoch: 4 | Loss: 0.284901996148233 | Accuracy: 0.908125
TEST | Epoch: 4 | Loss: 0.32694772600149047 | Accuracy: 0.895625
TRAIN | Epoch: 5 | Loss: 0.26279902080832296 | Accuracy: 0.9138060897435898
TEST | Epoch: 5 | Loss: 0.31048352688270453 | Accuracy: 0.8999519230769231
TRAIN | Epoch: 6 | Loss: 0.23737914536111465 | Accuracy: 0.9208814102564102
TEST | Epoch: 6 | Loss: 0.2897091790251067 | Accuracy: 0.9072115384615385
TRAIN | Epoch: 7 | Loss: 0.22362353052571618 | Accuracy: 0.9250080128205128
TEST | Epoch: 7 | Loss: 0.2827708686231352 | Accuracy: 0.9080769230769231
TRAIN | Epoch: 8 | Loss: 0.21274122434463352 | Accuracy: 0.9274679487179487
TEST | Epoch: 8 | Loss: 0.2757368602663352 | Accuracy: 0.9097115384615385
TRAIN | Epoch: 9 | Loss: 0.19279832884216555 | Accuracy: 0.9346875
TEST | Epoch: 9 | Loss: 0.2611574006916097 | Accuracy: 0.9173076923076923
TRAIN | Epoch: 10 | Loss: 0.19088152076906045 | Accuracy: 0.933838141025641
TEST | Epoch: 10 | Loss: 0.2695780075488819 | Accuracy: 0.9137980769230769
TRAIN | Epoch: 11 | Loss: 0.1864962739078815 | Accuracy: 0.9353365384615384
TEST | Epoch: 11 | Loss: 0.2661013081977566 | Accuracy: 0.9142788461538461
TRAIN | Epoch: 12 | Loss: 0.16803212426419617 | Accuracy: 0.9417147435897436
TEST | Epoch: 12 | Loss: 0.25227383079879323 | Accuracy: 0.9192307692307692
TRAIN | Epoch: 13 | Loss: 0.16657797536352315 | Accuracy: 0.9412419871794871
TEST | Epoch: 13 | Loss: 0.2540256313950146 | Accuracy: 0.9186057692307692
