/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 38.627050000456805 | Accuracy: 0.03620567375886525
TEST FOLD 1 | Epoch: 1 | Loss: 39.140527189788585 | Accuracy: 0.036702127659574466
TRAIN | Epoch: 2 | Loss: 32.59629996181853 | Accuracy: 0.02992021276595745
TEST FOLD 1 | Epoch: 2 | Loss: 32.85414075789367 | Accuracy: 0.02920212765957447
TRAIN | Epoch: 3 | Loss: 32.352143269645104 | Accuracy: 0.012810283687943262
TEST FOLD 1 | Epoch: 3 | Loss: 32.52513717097863 | Accuracy: 0.01324468085106383
TRAIN | Epoch: 4 | Loss: 32.79601633173512 | Accuracy: 0.028076241134751774
TEST FOLD 1 | Epoch: 4 | Loss: 32.94566768348176 | Accuracy: 0.028882978723404257
TRAIN | Epoch: 5 | Loss: 33.766630738535056 | Accuracy: 0.013289007092198582
TEST FOLD 1 | Epoch: 5 | Loss: 34.348489268820266 | Accuracy: 0.01324468085106383
TRAIN | Epoch: 6 | Loss: 34.3466610456125 | Accuracy: 0.015735815602836878
TEST FOLD 1 | Epoch: 6 | Loss: 34.878932003458445 | Accuracy: 0.015531914893617021
TRAIN | Epoch: 7 | Loss: 34.65549887626966 | Accuracy: 0.017092198581560282
TEST FOLD 1 | Epoch: 7 | Loss: 35.06273045818482 | Accuracy: 0.016382978723404256
TRAIN | Epoch: 8 | Loss: 35.33308411290824 | Accuracy: 0.02221631205673759
TEST FOLD 1 | Epoch: 8 | Loss: 36.096419209087315 | Accuracy: 0.022287234042553193
TRAIN | Epoch: 9 | Loss: 34.6964160542161 | Accuracy: 0.013368794326241135
TEST FOLD 1 | Epoch: 9 | Loss: 35.19050648858966 | Accuracy: 0.01398936170212766
TRAIN | Epoch: 10 | Loss: 33.76407558195601 | Accuracy: 0.028794326241134753
TEST FOLD 1 | Epoch: 10 | Loss: 33.78698089355002 | Accuracy: 0.029148936170212764
TRAIN | Epoch: 11 | Loss: 34.25660749801646 | Accuracy: 0.012411347517730497
TEST FOLD 1 | Epoch: 11 | Loss: 34.31778301115894 | Accuracy: 0.014042553191489362
TRAIN | Epoch: 12 | Loss: 34.0989651228702 | Accuracy: 0.02174645390070922
TEST FOLD 1 | Epoch: 12 | Loss: 34.61588778703511 | Accuracy: 0.01946808510638298
TRAIN | Epoch: 13 | Loss: 32.55044133001456 | Accuracy: 0.02024822695035461
TEST FOLD 1 | Epoch: 13 | Loss: 32.443706513647804 | Accuracy: 0.01898936170212766
TRAIN | Epoch: 14 | Loss: 32.89781488430506 | Accuracy: 0.023900709219858155
TEST FOLD 1 | Epoch: 14 | Loss: 33.18494251516278 | Accuracy: 0.023776595744680853
TRAIN | Epoch: 15 | Loss: 31.804331274981788 | Accuracy: 0.015558510638297872
TEST FOLD 1 | Epoch: 15 | Loss: 31.94834447477422 | Accuracy: 0.014946808510638298
TRAIN | Epoch: 16 | Loss: 31.155175200910513 | Accuracy: 0.011906028368794326
TEST FOLD 1 | Epoch: 16 | Loss: 31.098122523361823 | Accuracy: 0.012659574468085107
TRAIN | Epoch: 17 | Loss: 31.398355711374254 | Accuracy: 0.011631205673758865
TEST FOLD 1 | Epoch: 17 | Loss: 31.82820192498631 | Accuracy: 0.01223404255319149
TRAIN | Epoch: 18 | Loss: 34.54060955214002 | Accuracy: 0.02578014184397163
TEST FOLD 1 | Epoch: 18 | Loss: 34.83975694535545 | Accuracy: 0.027074468085106385
TRAIN | Epoch: 19 | Loss: 32.85585463090333 | Accuracy: 0.023599290780141845
TEST FOLD 1 | Epoch: 19 | Loss: 32.95507633804202 | Accuracy: 0.023776595744680853
TRAIN | Epoch: 20 | Loss: 31.804283616198063 | Accuracy: 0.021631205673758865
TEST FOLD 1 | Epoch: 20 | Loss: 32.062833662053386 | Accuracy: 0.020585106382978724
TRAIN | Epoch: 21 | Loss: 34.451692441322486 | Accuracy: 0.024547872340425533
TEST FOLD 1 | Epoch: 21 | Loss: 34.530361727818516 | Accuracy: 0.025319148936170214
TRAIN | Epoch: 22 | Loss: 30.481455953114274 | Accuracy: 0.034707446808510636
TEST FOLD 1 | Epoch: 22 | Loss: 30.56716569139777 | Accuracy: 0.03430851063829787
TRAIN | Epoch: 23 | Loss: 35.56584112235384 | Accuracy: 0.024565602836879433
TEST FOLD 1 | Epoch: 23 | Loss: 35.577685818156866 | Accuracy: 0.023776595744680853
TRAIN | Epoch: 24 | Loss: 36.077793401579584 | Accuracy: 0.014547872340425531
TEST FOLD 1 | Epoch: 24 | Loss: 36.44748060940341 | Accuracy: 0.01547872340425532
TRAIN | Epoch: 25 | Loss: 35.51425370529335 | Accuracy: 0.013625886524822694
TEST FOLD 1 | Epoch: 25 | Loss: 35.83503769426516 | Accuracy: 0.012180851063829786
TRAIN | Epoch: 26 | Loss: 33.728809991955536 | Accuracy: 0.028023049645390073
TEST FOLD 1 | Epoch: 26 | Loss: 33.782194529437376 | Accuracy: 0.027659574468085105
TRAIN | Epoch: 27 | Loss: 33.13411112393415 | Accuracy: 0.026125886524822697
TEST FOLD 1 | Epoch: 27 | Loss: 33.08940582576128 | Accuracy: 0.026063829787234042
TRAIN | Epoch: 28 | Loss: 33.197455820203814 | Accuracy: 0.028741134751773048
TEST FOLD 1 | Epoch: 28 | Loss: 33.85575225828034 | Accuracy: 0.02648936170212766
TRAIN | Epoch: 29 | Loss: 27.81340500906269 | Accuracy: 0.02178191489361702
TEST FOLD 1 | Epoch: 29 | Loss: 28.244533552148255 | Accuracy: 0.021968085106382977
TRAIN | Epoch: 30 | Loss: 31.586146774812278 | Accuracy: 0.018687943262411348
TEST FOLD 1 | Epoch: 30 | Loss: 32.328125108950864 | Accuracy: 0.018191489361702128
TRAIN | Epoch: 31 | Loss: 31.532118722452502 | Accuracy: 0.02249113475177305
TEST FOLD 1 | Epoch: 31 | Loss: 32.55789760076702 | Accuracy: 0.023882978723404256
TRAIN | Epoch: 32 | Loss: 33.61059807400125 | Accuracy: 0.029343971631205674
TEST FOLD 1 | Epoch: 32 | Loss: 34.26013927164947 | Accuracy: 0.02776595744680851
TRAIN | Epoch: 33 | Loss: 30.2746082047148 | Accuracy: 0.020859929078014185
TEST FOLD 1 | Epoch: 33 | Loss: 30.82903885764497 | Accuracy: 0.02154255319148936
TRAIN | Epoch: 34 | Loss: 36.7248259740706 | Accuracy: 0.009273049645390071
TEST FOLD 1 | Epoch: 34 | Loss: 37.01849400470749 | Accuracy: 0.008563829787234042
TRAIN | Epoch: 35 | Loss: 33.92169638782132 | Accuracy: 0.024060283687943263
TEST FOLD 1 | Epoch: 35 | Loss: 34.74102475439473 | Accuracy: 0.024361702127659573
TRAIN | Epoch: 36 | Loss: 32.288509400531794 | Accuracy: 0.022801418439716312
TEST FOLD 1 | Epoch: 36 | Loss: 32.59564996831772 | Accuracy: 0.022180851063829787
TRAIN | Epoch: 37 | Loss: 35.00370330627399 | Accuracy: 0.027677304964539007
TEST FOLD 1 | Epoch: 37 | Loss: 35.1338506668152 | Accuracy: 0.028085106382978724
TRAIN | Epoch: 38 | Loss: 36.346302870509575 | Accuracy: 0.034849290780141845
TEST FOLD 1 | Epoch: 38 | Loss: 35.89357532381658 | Accuracy: 0.03468085106382979
TRAIN | Epoch: 39 | Loss: 29.926235853266384 | Accuracy: 0.027907801418439716
TEST FOLD 1 | Epoch: 39 | Loss: 30.24008359157572 | Accuracy: 0.027127659574468086
TRAIN | Epoch: 40 | Loss: 34.90698925480668 | Accuracy: 0.015283687943262412
TEST FOLD 1 | Epoch: 40 | Loss: 35.258710911791546 | Accuracy: 0.01648936170212766
TRAIN | Epoch: 41 | Loss: 35.90103117964162 | Accuracy: 0.04025709219858156
TEST FOLD 1 | Epoch: 41 | Loss: 35.91053966742014 | Accuracy: 0.039521276595744684
TRAIN | Epoch: 42 | Loss: 29.756298579420026 | Accuracy: 0.017828014184397164
TEST FOLD 1 | Epoch: 42 | Loss: 29.955210590564104 | Accuracy: 0.01797872340425532
TRAIN | Epoch: 43 | Loss: 30.453636929234477 | Accuracy: 0.016657801418439717
TEST FOLD 1 | Epoch: 43 | Loss: 30.583207665807468 | Accuracy: 0.017180851063829786
TRAIN | Epoch: 44 | Loss: 30.963235457150557 | Accuracy: 0.030328014184397165
TEST FOLD 1 | Epoch: 44 | Loss: 31.01321063673353 | Accuracy: 0.03175531914893617
TRAIN | Epoch: 45 | Loss: 32.287677146892534 | Accuracy: 0.035283687943262414
TEST FOLD 1 | Epoch: 45 | Loss: 32.56511929623677 | Accuracy: 0.036170212765957444
TRAIN | Epoch: 46 | Loss: 32.542953642362534 | Accuracy: 0.01975177304964539
TEST FOLD 1 | Epoch: 46 | Loss: 32.741715085094015 | Accuracy: 0.01845744680851064
TRAIN | Epoch: 47 | Loss: 33.174727928000394 | Accuracy: 0.02801418439716312
TEST FOLD 1 | Epoch: 47 | Loss: 33.81949236199814 | Accuracy: 0.027872340425531914
TRAIN | Epoch: 48 | Loss: 31.89473283538642 | Accuracy: 0.0125
TEST FOLD 1 | Epoch: 48 | Loss: 32.18296707123723 | Accuracy: 0.012606382978723404
TRAIN | Epoch: 49 | Loss: 31.791987336562148 | Accuracy: 0.015576241134751773
TEST FOLD 1 | Epoch: 49 | Loss: 31.48329773116091 | Accuracy: 0.016170212765957447
TRAIN | Epoch: 50 | Loss: 32.484048595812524 | Accuracy: 0.031462765957446806
TEST FOLD 1 | Epoch: 50 | Loss: 32.63686726335506 | Accuracy: 0.029361702127659574
TRAIN | Epoch: 51 | Loss: 33.44175152953787 | Accuracy: 0.016914893617021278
TEST FOLD 1 | Epoch: 51 | Loss: 33.71040394429788 | Accuracy: 0.01696808510638298
TRAIN | Epoch: 52 | Loss: 32.33896930643803 | Accuracy: 0.028900709219858156
TEST FOLD 1 | Epoch: 52 | Loss: 33.08973483680572 | Accuracy: 0.028031914893617022
TRAIN | Epoch: 53 | Loss: 30.775672248654597 | Accuracy: 0.014069148936170213
TEST FOLD 1 | Epoch: 53 | Loss: 31.187726274129663 | Accuracy: 0.012925531914893616
TRAIN | Epoch: 54 | Loss: 32.23179773797656 | Accuracy: 0.01995567375886525
TEST FOLD 1 | Epoch: 54 | Loss: 32.273249005861935 | Accuracy: 0.02106382978723404
TRAIN | Epoch: 55 | Loss: 33.6764695626934 | Accuracy: 0.030354609929078014
TEST FOLD 1 | Epoch: 55 | Loss: 33.84661143920359 | Accuracy: 0.029840425531914894
TRAIN | Epoch: 56 | Loss: 32.90642731743911 | Accuracy: 0.01747340425531915
TEST FOLD 1 | Epoch: 56 | Loss: 33.372839599292995 | Accuracy: 0.017180851063829786
TRAIN | Epoch: 57 | Loss: 30.96872137905808 | Accuracy: 0.013439716312056737
TEST FOLD 1 | Epoch: 57 | Loss: 31.318289148306235 | Accuracy: 0.01148936170212766
TRAIN | Epoch: 58 | Loss: 33.073570244392656 | Accuracy: 0.04099290780141844
TEST FOLD 1 | Epoch: 58 | Loss: 33.714233725160334 | Accuracy: 0.04101063829787234
TRAIN | Epoch: 59 | Loss: 33.321940638393095 | Accuracy: 0.015336879432624113
TEST FOLD 1 | Epoch: 59 | Loss: 34.13354874739009 | Accuracy: 0.015851063829787234
TRAIN | Epoch: 60 | Loss: 31.24517130039425 | Accuracy: 0.012092198581560284
TEST FOLD 1 | Epoch: 60 | Loss: 31.99425065124113 | Accuracy: 0.012074468085106383
