/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 2.779403713624339 | Accuracy: 0.33795833333333336
TEST FOLD 1 | Epoch: 1 | Loss: 2.7743139781746033 | Accuracy: 0.337525
TRAIN | Epoch: 2 | Loss: 2.753153604497354 | Accuracy: 0.232425
TEST FOLD 1 | Epoch: 2 | Loss: 2.7071805456349205 | Accuracy: 0.235225
TRAIN | Epoch: 3 | Loss: 3.269704110449736 | Accuracy: 0.2852458333333333
TEST FOLD 1 | Epoch: 3 | Loss: 3.3065362599206347 | Accuracy: 0.284175
TRAIN | Epoch: 4 | Loss: 2.4060669543650786 | Accuracy: 0.31776666666666664
TEST FOLD 1 | Epoch: 4 | Loss: 2.4082614484126985 | Accuracy: 0.3197
TRAIN | Epoch: 5 | Loss: 3.0001958994708984 | Accuracy: 0.27955
TEST FOLD 1 | Epoch: 5 | Loss: 2.9438707936507935 | Accuracy: 0.279425
TRAIN | Epoch: 6 | Loss: 2.960928869047619 | Accuracy: 0.24002083333333332
TEST FOLD 1 | Epoch: 6 | Loss: 2.935117361111111 | Accuracy: 0.2407
TRAIN | Epoch: 7 | Loss: 2.377482997685185 | Accuracy: 0.31285
TEST FOLD 1 | Epoch: 7 | Loss: 2.4016066468253974 | Accuracy: 0.30895
TRAIN | Epoch: 8 | Loss: 2.3535609093915344 | Accuracy: 0.27250833333333335
TEST FOLD 1 | Epoch: 8 | Loss: 2.3378661805555554 | Accuracy: 0.27185
TRAIN | Epoch: 9 | Loss: 2.6113757374338626 | Accuracy: 0.3269666666666667
TEST FOLD 1 | Epoch: 9 | Loss: 2.63096001984127 | Accuracy: 0.3249
TRAIN | Epoch: 10 | Loss: 2.42505939484127 | Accuracy: 0.2717375
TEST FOLD 1 | Epoch: 10 | Loss: 2.455675 | Accuracy: 0.271975
TRAIN | Epoch: 11 | Loss: 2.6396607539682537 | Accuracy: 0.28218333333333334
TEST FOLD 1 | Epoch: 11 | Loss: 2.6407174702380956 | Accuracy: 0.280775
TRAIN | Epoch: 12 | Loss: 2.3008937929894184 | Accuracy: 0.22978333333333334
TEST FOLD 1 | Epoch: 12 | Loss: 2.3132338194444446 | Accuracy: 0.229025
TRAIN | Epoch: 13 | Loss: 3.0183788855820097 | Accuracy: 0.27144583333333333
TEST FOLD 1 | Epoch: 13 | Loss: 3.03886001984127 | Accuracy: 0.275475
TRAIN | Epoch: 14 | Loss: 2.802219350198413 | Accuracy: 0.23952083333333332
TEST FOLD 1 | Epoch: 14 | Loss: 2.751893492063492 | Accuracy: 0.2409
TRAIN | Epoch: 15 | Loss: 3.2752716550925935 | Accuracy: 0.28465
TEST FOLD 1 | Epoch: 15 | Loss: 3.261482371031746 | Accuracy: 0.2851
TRAIN | Epoch: 16 | Loss: 2.7133242956349197 | Accuracy: 0.26593333333333335
TEST FOLD 1 | Epoch: 16 | Loss: 2.675194672619047 | Accuracy: 0.263825
TRAIN | Epoch: 17 | Loss: 2.63660607473545 | Accuracy: 0.23779583333333335
TEST FOLD 1 | Epoch: 17 | Loss: 2.662990922619047 | Accuracy: 0.23795
TRAIN | Epoch: 18 | Loss: 2.211262318121694 | Accuracy: 0.363525
TEST FOLD 1 | Epoch: 18 | Loss: 2.2029491964285715 | Accuracy: 0.3626
TRAIN | Epoch: 19 | Loss: 2.6131406349206348 | Accuracy: 0.2879041666666667
TEST FOLD 1 | Epoch: 19 | Loss: 2.5924627182539686 | Accuracy: 0.28795
TRAIN | Epoch: 20 | Loss: 2.0581547304894174 | Accuracy: 0.30654166666666666
TEST FOLD 1 | Epoch: 20 | Loss: 2.0678164186507937 | Accuracy: 0.307275
TRAIN | Epoch: 21 | Loss: 2.4910966583994707 | Accuracy: 0.42280416666666665
TEST FOLD 1 | Epoch: 21 | Loss: 2.4802313194444445 | Accuracy: 0.422275
TRAIN | Epoch: 22 | Loss: 2.8672913343253956 | Accuracy: 0.24702916666666666
TEST FOLD 1 | Epoch: 22 | Loss: 2.8418920238095233 | Accuracy: 0.248325
TRAIN | Epoch: 23 | Loss: 2.5498210052910055 | Accuracy: 0.26635
TEST FOLD 1 | Epoch: 23 | Loss: 2.522070863095238 | Accuracy: 0.2659
TRAIN | Epoch: 24 | Loss: 2.671177468584656 | Accuracy: 0.25755833333333333
TEST FOLD 1 | Epoch: 24 | Loss: 2.6619043849206347 | Accuracy: 0.2584
TRAIN | Epoch: 25 | Loss: 2.4873733630952386 | Accuracy: 0.3365
TEST FOLD 1 | Epoch: 25 | Loss: 2.495576031746032 | Accuracy: 0.334775
TRAIN | Epoch: 26 | Loss: 2.2865010383597886 | Accuracy: 0.28197083333333334
TEST FOLD 1 | Epoch: 26 | Loss: 2.3099239285714286 | Accuracy: 0.2856
TRAIN | Epoch: 27 | Loss: 2.8614212070105816 | Accuracy: 0.28441666666666665
TEST FOLD 1 | Epoch: 27 | Loss: 2.8439827281746033 | Accuracy: 0.283275
TRAIN | Epoch: 28 | Loss: 2.320636494708995 | Accuracy: 0.313025
TEST FOLD 1 | Epoch: 28 | Loss: 2.325729305555556 | Accuracy: 0.3137
TRAIN | Epoch: 29 | Loss: 2.7626065757275127 | Accuracy: 0.2329125
TEST FOLD 1 | Epoch: 29 | Loss: 2.756136954365079 | Accuracy: 0.237925
TRAIN | Epoch: 30 | Loss: 3.1338219097222217 | Accuracy: 0.24113333333333334
