/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 14.078384245024017 | Accuracy: 0.06716346153846153
TEST FOLD 1 | Epoch: 1 | Loss: 14.313579004718244 | Accuracy: 0.06701923076923078
TRAIN | Epoch: 2 | Loss: 14.896425138750274 | Accuracy: 0.050665064102564106
TEST FOLD 1 | Epoch: 2 | Loss: 14.830072041023763 | Accuracy: 0.048365384615384616
TRAIN | Epoch: 3 | Loss: 13.308293619199446 | Accuracy: 0.06108974358974359
TEST FOLD 1 | Epoch: 3 | Loss: 13.439770004153468 | Accuracy: 0.06096153846153846
TRAIN | Epoch: 4 | Loss: 14.045036578833576 | Accuracy: 0.05118589743589744
TEST FOLD 1 | Epoch: 4 | Loss: 13.864420767911813 | Accuracy: 0.048942307692307695
TRAIN | Epoch: 5 | Loss: 14.459954973836549 | Accuracy: 0.05726762820512821
TEST FOLD 1 | Epoch: 5 | Loss: 14.539297647264286 | Accuracy: 0.05673076923076923
TRAIN | Epoch: 6 | Loss: 12.533193994954381 | Accuracy: 0.06234775641025641
TEST FOLD 1 | Epoch: 6 | Loss: 12.450175998021672 | Accuracy: 0.06307692307692307
TRAIN | Epoch: 7 | Loss: 12.986842539137566 | Accuracy: 0.032596153846153844
TEST FOLD 1 | Epoch: 7 | Loss: 13.199250700538938 | Accuracy: 0.03288461538461539
TRAIN | Epoch: 8 | Loss: 12.988359516243781 | Accuracy: 0.06374198717948718
TEST FOLD 1 | Epoch: 8 | Loss: 13.024609946842611 | Accuracy: 0.06086538461538461
TRAIN | Epoch: 9 | Loss: 13.804643052969158 | Accuracy: 0.07274038461538461
TEST FOLD 1 | Epoch: 9 | Loss: 14.065290529470902 | Accuracy: 0.07163461538461538
TRAIN | Epoch: 10 | Loss: 13.849600356912042 | Accuracy: 0.07040865384615384
TEST FOLD 1 | Epoch: 10 | Loss: 13.822993979038293 | Accuracy: 0.07355769230769231
TRAIN | Epoch: 11 | Loss: 14.01842473158934 | Accuracy: 0.058181089743589744
TEST FOLD 1 | Epoch: 11 | Loss: 13.989926774016736 | Accuracy: 0.05730769230769231
TRAIN | Epoch: 12 | Loss: 13.743826309273002 | Accuracy: 0.037732371794871794
TEST FOLD 1 | Epoch: 12 | Loss: 13.891315502369569 | Accuracy: 0.03610576923076923
TRAIN | Epoch: 13 | Loss: 14.410727321398623 | Accuracy: 0.05341346153846154
TEST FOLD 1 | Epoch: 13 | Loss: 14.432917981781776 | Accuracy: 0.05206730769230769
TRAIN | Epoch: 14 | Loss: 13.01413685721945 | Accuracy: 0.043125
TEST FOLD 1 | Epoch: 14 | Loss: 13.148569244627428 | Accuracy: 0.042548076923076925
TRAIN | Epoch: 15 | Loss: 13.295052014682465 | Accuracy: 0.06931891025641025
TEST FOLD 1 | Epoch: 15 | Loss: 13.558787440783112 | Accuracy: 0.07115384615384615
TRAIN | Epoch: 16 | Loss: 14.294289007754415 | Accuracy: 0.07854166666666666
