/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 2.028479437830688 | Accuracy: 0.19843333333333332
TEST FOLD 1 | Epoch: 1 | Loss: 2.0616489682539685 | Accuracy: 0.1925
TRAIN | Epoch: 2 | Loss: 2.024639007936508 | Accuracy: 0.30848333333333333
TEST FOLD 1 | Epoch: 2 | Loss: 2.0011443253968255 | Accuracy: 0.309
TRAIN | Epoch: 3 | Loss: 1.893327533068783 | Accuracy: 0.32535
TEST FOLD 1 | Epoch: 3 | Loss: 1.9176740873015872 | Accuracy: 0.3228
TRAIN | Epoch: 4 | Loss: 2.0839956746031745 | Accuracy: 0.20935
TEST FOLD 1 | Epoch: 4 | Loss: 2.1594276984126983 | Accuracy: 0.2113
TRAIN | Epoch: 5 | Loss: 1.8551750925925927 | Accuracy: 0.2589166666666667
TEST FOLD 1 | Epoch: 5 | Loss: 1.871700476190476 | Accuracy: 0.2627
TRAIN | Epoch: 6 | Loss: 2.478101541005291 | Accuracy: 0.23981666666666668
TEST FOLD 1 | Epoch: 6 | Loss: 2.428574007936508 | Accuracy: 0.2377
TRAIN | Epoch: 7 | Loss: 1.6619787433862432 | Accuracy: 0.3598166666666667
TEST FOLD 1 | Epoch: 7 | Loss: 1.7087909523809521 | Accuracy: 0.3612
TRAIN | Epoch: 8 | Loss: 2.1211212367724865 | Accuracy: 0.26125
TEST FOLD 1 | Epoch: 8 | Loss: 2.1227223412698413 | Accuracy: 0.2615
TRAIN | Epoch: 9 | Loss: 1.7757642857142857 | Accuracy: 0.28563333333333335
TEST FOLD 1 | Epoch: 9 | Loss: 1.7427973412698412 | Accuracy: 0.2912
TRAIN | Epoch: 10 | Loss: 2.378799398148148 | Accuracy: 0.29131666666666667
TEST FOLD 1 | Epoch: 10 | Loss: 2.4050894444444446 | Accuracy: 0.2998
TRAIN | Epoch: 11 | Loss: 2.2206717857142864 | Accuracy: 0.22711666666666666
TEST FOLD 1 | Epoch: 11 | Loss: 2.2037936507936506 | Accuracy: 0.2264
TRAIN | Epoch: 12 | Loss: 2.265610496031746 | Accuracy: 0.2949
TEST FOLD 1 | Epoch: 12 | Loss: 2.245543492063492 | Accuracy: 0.294
TRAIN | Epoch: 13 | Loss: 2.4537616865079364 | Accuracy: 0.28075
TEST FOLD 1 | Epoch: 13 | Loss: 2.472072857142857 | Accuracy: 0.2826
TRAIN | Epoch: 14 | Loss: 2.0241143650793654 | Accuracy: 0.17645
TEST FOLD 1 | Epoch: 14 | Loss: 1.9882063095238092 | Accuracy: 0.1796
TRAIN | Epoch: 15 | Loss: 1.6635236243386244 | Accuracy: 0.3244166666666667
TEST FOLD 1 | Epoch: 15 | Loss: 1.7317785317460315 | Accuracy: 0.3257
TRAIN | Epoch: 16 | Loss: 1.908701626984127 | Accuracy: 0.31671666666666665
TEST FOLD 1 | Epoch: 16 | Loss: 1.9672882142857142 | Accuracy: 0.3137
TRAIN | Epoch: 17 | Loss: 1.801532837301587 | Accuracy: 0.23656666666666668
TEST FOLD 1 | Epoch: 17 | Loss: 1.8634051587301586 | Accuracy: 0.2391
TRAIN | Epoch: 18 | Loss: 1.857557136243386 | Accuracy: 0.2929
TEST FOLD 1 | Epoch: 18 | Loss: 1.8864411904761906 | Accuracy: 0.2895
TRAIN | Epoch: 19 | Loss: 1.5712994576719574 | Accuracy: 0.3066333333333333
TEST FOLD 1 | Epoch: 19 | Loss: 1.553979484126984 | Accuracy: 0.3201
TRAIN | Epoch: 20 | Loss: 1.7920928835978835 | Accuracy: 0.24603333333333333
TEST FOLD 1 | Epoch: 20 | Loss: 1.7990134523809524 | Accuracy: 0.2421
TRAIN | Epoch: 21 | Loss: 2.4012686375661376 | Accuracy: 0.24145
TEST FOLD 1 | Epoch: 21 | Loss: 2.4191341666666673 | Accuracy: 0.2417
TRAIN | Epoch: 22 | Loss: 1.7631014484126981 | Accuracy: 0.31445
TEST FOLD 1 | Epoch: 22 | Loss: 1.7747937301587302 | Accuracy: 0.3091
TRAIN | Epoch: 23 | Loss: 1.818137599206349 | Accuracy: 0.21746666666666667
TEST FOLD 1 | Epoch: 23 | Loss: 1.844249087301587 | Accuracy: 0.2162
TRAIN | Epoch: 24 | Loss: 2.4699740806878308 | Accuracy: 0.27315
TEST FOLD 1 | Epoch: 24 | Loss: 2.4824564682539685 | Accuracy: 0.2688
TRAIN | Epoch: 25 | Loss: 2.047337585978836 | Accuracy: 0.2989
