/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 0.46114603174603175 | Accuracy: 0.9147666666666666
TEST FOLD 1 | Epoch: 1 | Loss: 0.4717977777777777 | Accuracy: 0.9142
TRAIN | Epoch: 2 | Loss: 0.49020231481481474 | Accuracy: 0.9202833333333333
TEST FOLD 1 | Epoch: 2 | Loss: 0.5413260317460318 | Accuracy: 0.9161
TRAIN | Epoch: 3 | Loss: 0.4092106878306878 | Accuracy: 0.9245666666666666
TEST FOLD 1 | Epoch: 3 | Loss: 0.42511880952380954 | Accuracy: 0.9194
TRAIN | Epoch: 4 | Loss: 0.4713575793650794 | Accuracy: 0.9282166666666667
TEST FOLD 1 | Epoch: 4 | Loss: 0.4665317063492063 | Accuracy: 0.9261
TRAIN | Epoch: 5 | Loss: 0.48293193783068783 | Accuracy: 0.9275666666666667
TEST FOLD 1 | Epoch: 5 | Loss: 0.5501130158730159 | Accuracy: 0.925
TRAIN | Epoch: 6 | Loss: 0.41485015873015874 | Accuracy: 0.9288833333333333
TEST FOLD 1 | Epoch: 6 | Loss: 0.4439515079365079 | Accuracy: 0.9268
TRAIN | Epoch: 7 | Loss: 0.4035722156084656 | Accuracy: 0.9288166666666666
TEST FOLD 1 | Epoch: 7 | Loss: 0.43154773809523805 | Accuracy: 0.924
TRAIN | Epoch: 8 | Loss: 0.5018801785714285 | Accuracy: 0.9301
TEST FOLD 1 | Epoch: 8 | Loss: 0.5814335714285713 | Accuracy: 0.9259
TRAIN | Epoch: 9 | Loss: 0.37804397486772484 | Accuracy: 0.9342833333333334
TEST FOLD 1 | Epoch: 9 | Loss: 0.4099793650793651 | Accuracy: 0.928
TRAIN | Epoch: 10 | Loss: 0.425686917989418 | Accuracy: 0.9250333333333334
TEST FOLD 1 | Epoch: 10 | Loss: 0.4913021428571428 | Accuracy: 0.9179
TRAIN | Epoch: 11 | Loss: 0.441793888888889 | Accuracy: 0.9313666666666667
TEST FOLD 1 | Epoch: 11 | Loss: 0.45968099206349206 | Accuracy: 0.9266
TRAIN | Epoch: 12 | Loss: 0.4429731415343915 | Accuracy: 0.9327166666666666
TEST FOLD 1 | Epoch: 12 | Loss: 0.518494880952381 | Accuracy: 0.9262
TRAIN | Epoch: 13 | Loss: 0.39181929894179895 | Accuracy: 0.9315166666666667
TEST FOLD 1 | Epoch: 13 | Loss: 0.4087648412698413 | Accuracy: 0.9261
TRAIN | Epoch: 14 | Loss: 0.38552951058201057 | Accuracy: 0.93365
TEST FOLD 1 | Epoch: 14 | Loss: 0.37225313492063494 | Accuracy: 0.9293
TRAIN | Epoch: 15 | Loss: 0.3972960251322751 | Accuracy: 0.9313833333333333
TEST FOLD 1 | Epoch: 15 | Loss: 0.4580890476190476 | Accuracy: 0.9266
TRAIN | Epoch: 16 | Loss: 0.42516336640211644 | Accuracy: 0.93275
TEST FOLD 1 | Epoch: 16 | Loss: 0.44335980158730165 | Accuracy: 0.9279
TRAIN | Epoch: 17 | Loss: 0.387915257936508 | Accuracy: 0.9323833333333333
TEST FOLD 1 | Epoch: 17 | Loss: 0.41074265873015875 | Accuracy: 0.9269
TRAIN | Epoch: 18 | Loss: 0.42382363756613745 | Accuracy: 0.9329166666666666
TEST FOLD 1 | Epoch: 18 | Loss: 0.4659540873015873 | Accuracy: 0.9288
TRAIN | Epoch: 19 | Loss: 0.38870716931216925 | Accuracy: 0.9329833333333334
TEST FOLD 1 | Epoch: 19 | Loss: 0.4146829761904763 | Accuracy: 0.9275
TRAIN | Epoch: 20 | Loss: 0.3834950198412699 | Accuracy: 0.9345833333333333
TEST FOLD 1 | Epoch: 20 | Loss: 0.42799019841269836 | Accuracy: 0.9295
TRAIN | Epoch: 21 | Loss: 0.34979588624338626 | Accuracy: 0.9344833333333333
TEST FOLD 1 | Epoch: 21 | Loss: 0.3728261904761905 | Accuracy: 0.9293
TRAIN | Epoch: 22 | Loss: 0.4063677711640212 | Accuracy: 0.9341
TEST FOLD 1 | Epoch: 22 | Loss: 0.44960246031746026 | Accuracy: 0.927
TRAIN | Epoch: 23 | Loss: 0.4403166798941799 | Accuracy: 0.9330666666666667
TEST FOLD 1 | Epoch: 23 | Loss: 0.4795040079365079 | Accuracy: 0.928
TRAIN | Epoch: 24 | Loss: 0.41053435185185183 | Accuracy: 0.9338
TEST FOLD 1 | Epoch: 24 | Loss: 0.46847559523809523 | Accuracy: 0.9277
TRAIN | Epoch: 25 | Loss: 0.40712059523809524 | Accuracy: 0.93285
TEST FOLD 1 | Epoch: 25 | Loss: 0.4287830158730159 | Accuracy: 0.9273
TRAIN | Epoch: 26 | Loss: 0.4038150198412699 | Accuracy: 0.9327333333333333
TEST FOLD 1 | Epoch: 26 | Loss: 0.4508506746031746 | Accuracy: 0.9255
TRAIN | Epoch: 27 | Loss: 0.3846851653439153 | Accuracy: 0.9325833333333333
TEST FOLD 1 | Epoch: 27 | Loss: 0.40384634920634915 | Accuracy: 0.9264
TRAIN | Epoch: 28 | Loss: 0.38174529100529103 | Accuracy: 0.9334166666666667
TEST FOLD 1 | Epoch: 28 | Loss: 0.4353873412698413 | Accuracy: 0.9266
TRAIN | Epoch: 29 | Loss: 0.3635566402116403 | Accuracy: 0.9338333333333333
TEST FOLD 1 | Epoch: 29 | Loss: 0.3947625793650794 | Accuracy: 0.9272
TRAIN | Epoch: 30 | Loss: 0.4154238756613756 | Accuracy: 0.9347333333333333
TEST FOLD 1 | Epoch: 30 | Loss: 0.44681781746031746 | Accuracy: 0.9294
TRAIN | Epoch: 31 | Loss: 0.39421321428571426 | Accuracy: 0.9343333333333333
TEST FOLD 1 | Epoch: 31 | Loss: 0.4205144444444444 | Accuracy: 0.9287
TRAIN | Epoch: 32 | Loss: 0.40514589285714286 | Accuracy: 0.9328666666666666
TEST FOLD 1 | Epoch: 32 | Loss: 0.4189393253968254 | Accuracy: 0.9268
TRAIN | Epoch: 33 | Loss: 0.3948174470899471 | Accuracy: 0.9325166666666667
TEST FOLD 1 | Epoch: 33 | Loss: 0.4371136507936508 | Accuracy: 0.9246
TRAIN | Epoch: 34 | Loss: 0.36972306216931217 | Accuracy: 0.9337
TEST FOLD 1 | Epoch: 34 | Loss: 0.3703865476190476 | Accuracy: 0.9261
TRAIN | Epoch: 35 | Loss: 0.35655303571428565 | Accuracy: 0.93235
TEST FOLD 1 | Epoch: 35 | Loss: 0.38079793650793653 | Accuracy: 0.9272
TRAIN | Epoch: 36 | Loss: 0.39045281746031746 | Accuracy: 0.9341333333333334
TEST FOLD 1 | Epoch: 36 | Loss: 0.40426321428571427 | Accuracy: 0.926
TRAIN | Epoch: 37 | Loss: 0.36163742063492066 | Accuracy: 0.9353666666666667
TEST FOLD 1 | Epoch: 37 | Loss: 0.3632595238095238 | Accuracy: 0.9298
TRAIN | Epoch: 38 | Loss: 0.3599055753968254 | Accuracy: 0.9317333333333333
TEST FOLD 1 | Epoch: 38 | Loss: 0.3981274206349206 | Accuracy: 0.9272
TRAIN | Epoch: 39 | Loss: 0.3540200396825397 | Accuracy: 0.9338
TEST FOLD 1 | Epoch: 39 | Loss: 0.38205384920634916 | Accuracy: 0.9274
TRAIN | Epoch: 40 | Loss: 0.37022171957671957 | Accuracy: 0.9345166666666667
TEST FOLD 1 | Epoch: 40 | Loss: 0.40321460317460317 | Accuracy: 0.9268
TRAIN | Epoch: 41 | Loss: 0.3808167857142857 | Accuracy: 0.93555
TEST FOLD 1 | Epoch: 41 | Loss: 0.4250747619047619 | Accuracy: 0.9291
TRAIN | Epoch: 42 | Loss: 0.4295009788359788 | Accuracy: 0.9346666666666666
