/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 0.31722917989417987 | Accuracy: 0.9607166666666667
TEST FOLD 1 | Epoch: 1 | Loss: 0.39573964285714286 | Accuracy: 0.9562
TRAIN | Epoch: 2 | Loss: 0.14280992724867725 | Accuracy: 0.9748833333333333
TEST FOLD 1 | Epoch: 2 | Loss: 0.20674095238095241 | Accuracy: 0.9684
TRAIN | Epoch: 3 | Loss: 0.1413272354497354 | Accuracy: 0.9798666666666667
TEST FOLD 1 | Epoch: 3 | Loss: 0.1858811507936508 | Accuracy: 0.9751
TRAIN | Epoch: 4 | Loss: 0.09534303571428572 | Accuracy: 0.9836166666666667
TEST FOLD 1 | Epoch: 4 | Loss: 0.1674442857142857 | Accuracy: 0.9762
TRAIN | Epoch: 5 | Loss: 0.13820786375661373 | Accuracy: 0.9841666666666666
TEST FOLD 1 | Epoch: 5 | Loss: 0.28425777777777783 | Accuracy: 0.9756
TRAIN | Epoch: 6 | Loss: 0.08377180555555555 | Accuracy: 0.9864833333333334
TEST FOLD 1 | Epoch: 6 | Loss: 0.18755900793650795 | Accuracy: 0.9759
TRAIN | Epoch: 7 | Loss: 0.10388894179894181 | Accuracy: 0.9875
TEST FOLD 1 | Epoch: 7 | Loss: 0.18532448412698413 | Accuracy: 0.9773
TRAIN | Epoch: 8 | Loss: 0.08361843915343917 | Accuracy: 0.9892833333333333
TEST FOLD 1 | Epoch: 8 | Loss: 0.20272087301587302 | Accuracy: 0.9778
TRAIN | Epoch: 9 | Loss: 0.06682045634920634 | Accuracy: 0.98955
TEST FOLD 1 | Epoch: 9 | Loss: 0.16735273809523807 | Accuracy: 0.9795
TRAIN | Epoch: 10 | Loss: 0.0564865806878307 | Accuracy: 0.9913166666666666
TEST FOLD 1 | Epoch: 10 | Loss: 0.13510511904761904 | Accuracy: 0.9819
TRAIN | Epoch: 11 | Loss: 0.0561963425925926 | Accuracy: 0.9917833333333334
TEST FOLD 1 | Epoch: 11 | Loss: 0.1588402777777778 | Accuracy: 0.9811
TRAIN | Epoch: 12 | Loss: 0.05494526455026454 | Accuracy: 0.9922833333333333
TEST FOLD 1 | Epoch: 12 | Loss: 0.17362253968253968 | Accuracy: 0.9792
TRAIN | Epoch: 13 | Loss: 0.06134355820105821 | Accuracy: 0.9923833333333333
TEST FOLD 1 | Epoch: 13 | Loss: 0.1837534126984127 | Accuracy: 0.9795
TRAIN | Epoch: 14 | Loss: 0.04974384920634921 | Accuracy: 0.99295
TEST FOLD 1 | Epoch: 14 | Loss: 0.16369031746031745 | Accuracy: 0.9805
TRAIN | Epoch: 15 | Loss: 0.04932117063492065 | Accuracy: 0.9930833333333333
TEST FOLD 1 | Epoch: 15 | Loss: 0.1457293253968254 | Accuracy: 0.9805
TRAIN | Epoch: 16 | Loss: 0.047793776455026464 | Accuracy: 0.9938
TEST FOLD 1 | Epoch: 16 | Loss: 0.2070970634920635 | Accuracy: 0.9801
TRAIN | Epoch: 17 | Loss: 0.0379777447089947 | Accuracy: 0.9940833333333333
TEST FOLD 1 | Epoch: 17 | Loss: 0.15934785714285715 | Accuracy: 0.9805
TRAIN | Epoch: 18 | Loss: 0.03809803571428572 | Accuracy: 0.9944666666666667
TEST FOLD 1 | Epoch: 18 | Loss: 0.16458539682539683 | Accuracy: 0.9803
TRAIN | Epoch: 19 | Loss: 0.03937409391534391 | Accuracy: 0.9949
TEST FOLD 1 | Epoch: 19 | Loss: 0.1534526587301587 | Accuracy: 0.9815
TRAIN | Epoch: 20 | Loss: 0.036809113756613755 | Accuracy: 0.9947666666666667
TEST FOLD 1 | Epoch: 20 | Loss: 0.1513307142857143 | Accuracy: 0.9807
TRAIN | Epoch: 21 | Loss: 0.03192849867724867 | Accuracy: 0.9949166666666667
TEST FOLD 1 | Epoch: 21 | Loss: 0.14890019841269841 | Accuracy: 0.9801
TRAIN | Epoch: 22 | Loss: 0.03022048941798942 | Accuracy: 0.9952333333333333
TEST FOLD 1 | Epoch: 22 | Loss: 0.15301238095238096 | Accuracy: 0.9814
TRAIN | Epoch: 23 | Loss: 0.026621051587301586 | Accuracy: 0.9953833333333333
TEST FOLD 1 | Epoch: 23 | Loss: 0.16425011904761905 | Accuracy: 0.9815
TRAIN | Epoch: 24 | Loss: 0.029469953703703703 | Accuracy: 0.9956166666666667
TEST FOLD 1 | Epoch: 24 | Loss: 0.16550599206349206 | Accuracy: 0.9825
TRAIN | Epoch: 25 | Loss: 0.02739968253968254 | Accuracy: 0.9956833333333334
TEST FOLD 1 | Epoch: 25 | Loss: 0.14466190476190477 | Accuracy: 0.9814
TRAIN | Epoch: 26 | Loss: 0.024642043650793657 | Accuracy: 0.9957666666666667
TEST FOLD 1 | Epoch: 26 | Loss: 0.1339561507936508 | Accuracy: 0.9807
TRAIN | Epoch: 27 | Loss: 0.02587201058201058 | Accuracy: 0.9959666666666667
TEST FOLD 1 | Epoch: 27 | Loss: 0.1290461111111111 | Accuracy: 0.9829
TRAIN | Epoch: 28 | Loss: 0.028760568783068787 | Accuracy: 0.9959166666666667
TEST FOLD 1 | Epoch: 28 | Loss: 0.1444352777777778 | Accuracy: 0.9818
TRAIN | Epoch: 29 | Loss: 0.02491122354497354 | Accuracy: 0.9959333333333333
TEST FOLD 1 | Epoch: 29 | Loss: 0.1544616666666667 | Accuracy: 0.9807
TRAIN | Epoch: 30 | Loss: 0.023689775132275128 | Accuracy: 0.9960166666666667
TEST FOLD 1 | Epoch: 30 | Loss: 0.12931777777777778 | Accuracy: 0.9819
TRAIN | Epoch: 31 | Loss: 0.024209695767195765 | Accuracy: 0.9961
TEST FOLD 1 | Epoch: 31 | Loss: 0.13672214285714285 | Accuracy: 0.9817
TRAIN | Epoch: 32 | Loss: 0.02309919312169312 | Accuracy: 0.9961333333333333
TEST FOLD 1 | Epoch: 32 | Loss: 0.13263666666666668 | Accuracy: 0.9818
TRAIN | Epoch: 33 | Loss: 0.023210238095238093 | Accuracy: 0.99615
TEST FOLD 1 | Epoch: 33 | Loss: 0.12894376984126985 | Accuracy: 0.9823
TRAIN | Epoch: 34 | Loss: 0.02212119708994709 | Accuracy: 0.9962166666666666
TEST FOLD 1 | Epoch: 34 | Loss: 0.12833884920634922 | Accuracy: 0.9817
TRAIN | Epoch: 35 | Loss: 0.022065793650793652 | Accuracy: 0.9961666666666666
TEST FOLD 1 | Epoch: 35 | Loss: 0.13187976190476192 | Accuracy: 0.9819
TRAIN | Epoch: 36 | Loss: 0.023603816137566135 | Accuracy: 0.9962666666666666
TEST FOLD 1 | Epoch: 36 | Loss: 0.13449876984126985 | Accuracy: 0.9819
TRAIN | Epoch: 37 | Loss: 0.022287572751322753 | Accuracy: 0.9962666666666666
TEST FOLD 1 | Epoch: 37 | Loss: 0.12756162698412699 | Accuracy: 0.9817
TRAIN | Epoch: 38 | Loss: 0.021269054232804233 | Accuracy: 0.99635
TEST FOLD 1 | Epoch: 38 | Loss: 0.12947690476190477 | Accuracy: 0.9815
TRAIN | Epoch: 39 | Loss: 0.021422585978835975 | Accuracy: 0.9963333333333333
TEST FOLD 1 | Epoch: 39 | Loss: 0.1263570634920635 | Accuracy: 0.9819
TRAIN | Epoch: 40 | Loss: 0.019056607142857146 | Accuracy: 0.9963833333333333
TEST FOLD 1 | Epoch: 40 | Loss: 0.16192845238095238 | Accuracy: 0.9811
TRAIN | Epoch: 41 | Loss: 0.019583234126984126 | Accuracy: 0.9964166666666666
TEST FOLD 1 | Epoch: 41 | Loss: 0.129495753968254 | Accuracy: 0.9808
TRAIN | Epoch: 42 | Loss: 0.021044715608465606 | Accuracy: 0.9964
TEST FOLD 1 | Epoch: 42 | Loss: 0.12780988095238094 | Accuracy: 0.9814
TRAIN | Epoch: 43 | Loss: 0.02127556216931217 | Accuracy: 0.99645
TEST FOLD 1 | Epoch: 43 | Loss: 0.12529261904761904 | Accuracy: 0.9816
TRAIN | Epoch: 44 | Loss: 0.01901578042328042 | Accuracy: 0.9965166666666667
TEST FOLD 1 | Epoch: 44 | Loss: 0.1258997619047619 | Accuracy: 0.9809
TRAIN | Epoch: 45 | Loss: 0.01771591931216931 | Accuracy: 0.99655
TEST FOLD 1 | Epoch: 45 | Loss: 0.13751920634920636 | Accuracy: 0.9812
TRAIN | Epoch: 46 | Loss: 0.017214761904761906 | Accuracy: 0.99655
TEST FOLD 1 | Epoch: 46 | Loss: 0.13726896825396828 | Accuracy: 0.9804
TRAIN | Epoch: 47 | Loss: 0.018895085978835983 | Accuracy: 0.99655
TEST FOLD 1 | Epoch: 47 | Loss: 0.13675234126984126 | Accuracy: 0.9807
TRAIN | Epoch: 48 | Loss: 0.01826665343915344 | Accuracy: 0.99655
TEST FOLD 1 | Epoch: 48 | Loss: 0.13804436507936507 | Accuracy: 0.9807
TRAIN | Epoch: 49 | Loss: 0.017021137566137563 | Accuracy: 0.9965666666666667
TEST FOLD 1 | Epoch: 49 | Loss: 0.13986087301587302 | Accuracy: 0.9804
TRAIN | Epoch: 50 | Loss: 0.016945701058201056 | Accuracy: 0.9966
TEST FOLD 1 | Epoch: 50 | Loss: 0.13133460317460316 | Accuracy: 0.9805
TRAIN | Epoch: 51 | Loss: 0.01741766534391534 | Accuracy: 0.9965666666666667
TEST FOLD 1 | Epoch: 51 | Loss: 0.13861742063492066 | Accuracy: 0.9806
TRAIN | Epoch: 52 | Loss: 0.01691683201058201 | Accuracy: 0.9965833333333334
TEST FOLD 1 | Epoch: 52 | Loss: 0.14220130952380952 | Accuracy: 0.9808
TRAIN | Epoch: 53 | Loss: 0.016777923280423282 | Accuracy: 0.9966166666666667
TEST FOLD 1 | Epoch: 53 | Loss: 0.14461067460317462 | Accuracy: 0.9809
TRAIN | Epoch: 54 | Loss: 0.016755502645502646 | Accuracy: 0.9966166666666667
TEST FOLD 1 | Epoch: 54 | Loss: 0.13755369047619048 | Accuracy: 0.9807
TRAIN | Epoch: 55 | Loss: 0.016707248677248678 | Accuracy: 0.9966
TEST FOLD 1 | Epoch: 55 | Loss: 0.1414259523809524 | Accuracy: 0.9808
TRAIN | Epoch: 56 | Loss: 0.016106117724867725 | Accuracy: 0.9966333333333334
TEST FOLD 1 | Epoch: 56 | Loss: 0.1361527380952381 | Accuracy: 0.9805
TRAIN | Epoch: 57 | Loss: 0.017162605820105818 | Accuracy: 0.99665
TEST FOLD 1 | Epoch: 57 | Loss: 0.13537555555555555 | Accuracy: 0.9809
TRAIN | Epoch: 58 | Loss: 0.016629537037037036 | Accuracy: 0.99665
