/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 0.28846153846153844 | Accuracy: 0.7115384615384616
TRAIN | Epoch: 2 | Loss: 0.3125 | Accuracy: 0.6875
TRAIN | Epoch: 3 | Loss: 0.2692307692307692 | Accuracy: 0.7307692307692307
TRAIN | Epoch: 4 | Loss: 0.23557692307692307 | Accuracy: 0.7644230769230769
TRAIN | Epoch: 5 | Loss: 0.1971153846153846 | Accuracy: 0.8028846153846154
TRAIN | Epoch: 6 | Loss: 0.28846153846153844 | Accuracy: 0.7115384615384616
TRAIN | Epoch: 7 | Loss: 0.1875 | Accuracy: 0.8125
TRAIN | Epoch: 8 | Loss: 0.25961538461538464 | Accuracy: 0.7403846153846154
TRAIN | Epoch: 9 | Loss: 0.3173076923076923 | Accuracy: 0.6826923076923077
TRAIN | Epoch: 10 | Loss: 0.23557692307692307 | Accuracy: 0.7644230769230769
TRAIN | Epoch: 11 | Loss: 0.28846153846153844 | Accuracy: 0.7115384615384616
TRAIN | Epoch: 12 | Loss: 0.2403846153846154 | Accuracy: 0.7596153846153846
TRAIN | Epoch: 13 | Loss: 0.17307692307692307 | Accuracy: 0.8269230769230769
TRAIN | Epoch: 14 | Loss: 0.1971153846153846 | Accuracy: 0.8028846153846154
TRAIN | Epoch: 15 | Loss: 0.1778846153846154 | Accuracy: 0.8221153846153846
TRAIN | Epoch: 16 | Loss: 0.21634615384615385 | Accuracy: 0.7836538461538461
TRAIN | Epoch: 17 | Loss: 0.18269230769230768 | Accuracy: 0.8173076923076923
TRAIN | Epoch: 18 | Loss: 0.16346153846153846 | Accuracy: 0.8365384615384616
TRAIN | Epoch: 19 | Loss: 0.20673076923076922 | Accuracy: 0.7932692307692307
TRAIN | Epoch: 20 | Loss: 0.17307692307692307 | Accuracy: 0.8269230769230769
TRAIN | Epoch: 21 | Loss: 0.17307692307692307 | Accuracy: 0.8269230769230769
TRAIN | Epoch: 22 | Loss: 0.17307692307692307 | Accuracy: 0.8269230769230769
TRAIN | Epoch: 23 | Loss: 0.25961538461538464 | Accuracy: 0.7403846153846154
TRAIN | Epoch: 24 | Loss: 0.15384615384615385 | Accuracy: 0.8461538461538461
TRAIN | Epoch: 25 | Loss: 0.1971153846153846 | Accuracy: 0.8028846153846154
TRAIN | Epoch: 26 | Loss: 0.17307692307692307 | Accuracy: 0.8269230769230769
TRAIN | Epoch: 27 | Loss: 0.14423076923076922 | Accuracy: 0.8557692307692307
TRAIN | Epoch: 28 | Loss: 0.15865384615384615 | Accuracy: 0.8413461538461539
TRAIN | Epoch: 29 | Loss: 0.1971153846153846 | Accuracy: 0.8028846153846154
TRAIN | Epoch: 30 | Loss: 0.15865384615384615 | Accuracy: 0.8413461538461539
TRAIN | Epoch: 31 | Loss: 0.14423076923076922 | Accuracy: 0.8557692307692307
TRAIN | Epoch: 32 | Loss: 0.16346153846153846 | Accuracy: 0.8365384615384616
TRAIN | Epoch: 33 | Loss: 0.13942307692307693 | Accuracy: 0.8605769230769231
TRAIN | Epoch: 34 | Loss: 0.22115384615384615 | Accuracy: 0.7788461538461539
TRAIN | Epoch: 35 | Loss: 0.13942307692307693 | Accuracy: 0.8605769230769231
TRAIN | Epoch: 36 | Loss: 0.1346153846153846 | Accuracy: 0.8653846153846154
TRAIN | Epoch: 37 | Loss: 0.125 | Accuracy: 0.875
TRAIN | Epoch: 38 | Loss: 0.19230769230769232 | Accuracy: 0.8076923076923077
TRAIN | Epoch: 39 | Loss: 0.15384615384615385 | Accuracy: 0.8461538461538461
TRAIN | Epoch: 40 | Loss: 0.19230769230769232 | Accuracy: 0.8076923076923077
TRAIN | Epoch: 41 | Loss: 0.13942307692307693 | Accuracy: 0.8605769230769231
TRAIN | Epoch: 42 | Loss: 0.14903846153846154 | Accuracy: 0.8509615384615384
TRAIN | Epoch: 43 | Loss: 0.14423076923076922 | Accuracy: 0.8557692307692307
