/usr/local/bin/python3.6 /home/spec/PycharmProjects/NN-Data-Classification/main_example.py
TRAIN | Epoch: 1 | Loss: 0.35096153846153844 | Accuracy: 0.6490384615384616
TRAIN | Epoch: 2 | Loss: 0.4567307692307692 | Accuracy: 0.5432692307692307
TRAIN | Epoch: 3 | Loss: 0.21153846153846154 | Accuracy: 0.7884615384615384
TRAIN | Epoch: 4 | Loss: 0.20192307692307693 | Accuracy: 0.7980769230769231
TRAIN | Epoch: 5 | Loss: 0.4807692307692308 | Accuracy: 0.5192307692307693
TRAIN | Epoch: 6 | Loss: 0.2692307692307692 | Accuracy: 0.7307692307692307
TRAIN | Epoch: 7 | Loss: 0.3076923076923077 | Accuracy: 0.6923076923076923
TRAIN | Epoch: 8 | Loss: 0.2980769230769231 | Accuracy: 0.7019230769230769
TRAIN | Epoch: 9 | Loss: 0.20673076923076922 | Accuracy: 0.7932692307692307
TRAIN | Epoch: 10 | Loss: 0.32211538461538464 | Accuracy: 0.6778846153846154
TRAIN | Epoch: 11 | Loss: 0.20192307692307693 | Accuracy: 0.7980769230769231
TRAIN | Epoch: 12 | Loss: 0.3076923076923077 | Accuracy: 0.6923076923076923
TRAIN | Epoch: 13 | Loss: 0.2980769230769231 | Accuracy: 0.7019230769230769
TRAIN | Epoch: 14 | Loss: 0.34615384615384615 | Accuracy: 0.6538461538461539
TRAIN | Epoch: 15 | Loss: 0.1875 | Accuracy: 0.8125
TRAIN | Epoch: 16 | Loss: 0.25 | Accuracy: 0.75
TRAIN | Epoch: 17 | Loss: 0.18269230769230768 | Accuracy: 0.8173076923076923
TRAIN | Epoch: 18 | Loss: 0.20673076923076922 | Accuracy: 0.7932692307692307
TRAIN | Epoch: 19 | Loss: 0.15865384615384615 | Accuracy: 0.8413461538461539
TRAIN | Epoch: 20 | Loss: 0.18269230769230768 | Accuracy: 0.8173076923076923
TRAIN | Epoch: 21 | Loss: 0.14423076923076922 | Accuracy: 0.8557692307692307
TRAIN | Epoch: 22 | Loss: 0.22115384615384615 | Accuracy: 0.7788461538461539
TRAIN | Epoch: 23 | Loss: 0.15384615384615385 | Accuracy: 0.8461538461538461
TRAIN | Epoch: 24 | Loss: 0.16346153846153846 | Accuracy: 0.8365384615384616
TRAIN | Epoch: 25 | Loss: 0.16826923076923078 | Accuracy: 0.8317307692307693
TRAIN | Epoch: 26 | Loss: 0.12980769230769232 | Accuracy: 0.8701923076923077
TRAIN | Epoch: 27 | Loss: 0.125 | Accuracy: 0.875
TRAIN | Epoch: 28 | Loss: 0.125 | Accuracy: 0.875
TRAIN | Epoch: 29 | Loss: 0.1346153846153846 | Accuracy: 0.8653846153846154
TRAIN | Epoch: 30 | Loss: 0.2403846153846154 | Accuracy: 0.7596153846153846
TRAIN | Epoch: 31 | Loss: 0.21634615384615385 | Accuracy: 0.7836538461538461
TRAIN | Epoch: 32 | Loss: 0.1346153846153846 | Accuracy: 0.8653846153846154
